Absorb
	description: A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
	effects: []
Fusion Flare
	description: The user brings down a giant flame. This move's power is increased when influenced by an enormous lightning bolt.
	type: Fire
	category: Special
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Future Sight
	description: Two turns after this move is used, a hunk of psychic energy attacks the target.
	type: Psychic
	category: Special
	power: 120
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Gastro Slam
	description: The user coats a limb in toxic stomach acid and slams into the target with it. This eliminates the effect of the target's Ability.
	type: Poison
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Gear Grind
	description: The user attacks by throwing steel gears at its target twice.
	type: Steel
	category: Physical
	power: 50
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Gear Up
	description: The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
	type: Steel
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Giga Drain
	description: A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
	type: Grass
	category: Special
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Glacial Lance
	description: 
	type: Ice
	category: Physical
	power: 130
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Glitzy Glow
	description: 
	type: Psychic
	category: Special
	power: 80
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Grass Knot
	description: The user snares the target with grass and trips it. The heavier the target, the greater the move's power.
	type: Grass
	category: Special
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Grass Pledge
	description: A column of grass hits the target. When used with its water equivalent, its power increases and a vast swamp appears.
	type: Grass
	category: Special
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Grassy Glide
	description: 
	type: Grass
	category: Physical
	power: 70
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Grassy Terrain
	description: The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass type-moves.
	type: Grass
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Gravity
	description: Enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Flying moves can't be used.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Guard Split
	description: The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Guard Swap
	description: The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Guillotine
	description: A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.
	type: Normal
	category: Physical
	power: 0
	accuracy: 30
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Gust
	description: A gust of wind is whipped up by wings and launched at the target to inflict damage.
	type: Flying
	category: Special
	power: 40
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Gyro Ball
	description: The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power.
	type: Steel
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hail
	description: The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.
	type: Ice
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Happy Hour
	description: Using Happy Hour doubles the amount of prize money received after battle.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Haze
	description: The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
	type: Ice
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Heal Bell
	description: The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: allyTeam
	crit: 0
	priority: 0
	drain: False
	effects: []
Healing Wish
	description: The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Heal Order
	description: The user calls out its underlings to heal it. The user regains up to half of its max HP.
	type: Bug
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Heal Pulse
	description: The user emits a healing pulse that restores the target's HP by up to half of its max HP.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Heartfall
	description: The user crashes into the target in a surge of healing water. The user's HP is restored by half the damage taken by the target.
	type: Water
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Heart Swap
	description: The user employs its psychic power to switch stat changes with the target.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Heat Crash
	description: The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move's power.
	type: Fire
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Heavy Slam
	description: The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power.
	type: Steel
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hex
	description: This relentless attack does massive damage to a target affected by status conditions.
	type: Ghost
	category: Special
	power: 65
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hidden Power
	description: A unique attack that varies in type depending on the Pokémon using it.
	type: Normal
	category: Special
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
High Horsepower
	description: The user fiercely attacks the target using its entire body.
	type: Ground
	category: Physical
	power: 95
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
High Jump Kick
	description: The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.
	type: Fighting
	category: Physical
	power: 130
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hold Back
	description: The user holds back when it attacks, and the target is left with at least 1 HP.
	type: Normal
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hold Hands
	description: The user and an ally hold hands. This makes them very happy.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: adjacentAlly
	crit: 0
	priority: 0
	drain: False
	effects: []
Horn Attack
	description: The target is jabbed with a sharply pointed horn to inflict damage.
	type: Normal
	category: Physical
	power: 65
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Horn Drill
	description: The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.
	type: Normal
	category: Physical
	power: 0
	accuracy: 30
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Horn Leech
	description: The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.
	type: Grass
	category: Physical
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Hydro Pump
	description: The target is blasted by a huge volume of water launched under great pressure.
	type: Water
	category: Special
	power: 110
	accuracy: 80
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hyperspace Hole
	description: Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect.
	type: Psychic
	category: Special
	power: 80
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Hyper Voice
	description: The user lets loose a horribly echoing shout with the power to inflict damage.
	type: Normal
	category: Special
	power: 90
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Hypno Family Reunion
	description: 
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Ice Ball
	description: The user attacks the target for five turns. The move's power increases each time it hits.
	type: Ice
	category: Physical
	power: 30
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Icefall
	description: The user attacks opposing Pokémon with a blast of snow. The lower the user's HP, the lower the move's power.
	type: Ice
	category: Special
	power: 150
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Ice Shard
	description: The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.
	type: Ice
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 1
	drain: False
	effects: []
Icicle Spear
	description: The user launches sharp icicles at the target two to five times in a row.
	type: Ice
	category: Physical
	power: 25
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Incinerate
	description: The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.
	type: Fire
	category: Special
	power: 60
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Instruct
	description: The user instructs the target to use the target's last move again.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Ion Deluge
	description: The user disperses electrically charged particles, which changes Normal-type moves to Electric-type moves.
	type: Electric
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 1
	drain: False
	effects: []
Jaw Lock
	description: 
	type: Dark
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Judgment
	description: The user releases countless shots of light at the target. This move's type varies depending on the kind of Plate the user is holding.
	type: Normal
	category: Special
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Jump Kick
	description: The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.
	type: Fighting
	category: Physical
	power: 100
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Jungle Healing
	description: 
	type: Grass
	category: Status
	power: 0
	accuracy: 101
	target: allies
	crit: 0
	priority: 0
	drain: False
	effects: []
Kappo
	description: Using a special Judo healing technique, the user restores its own HP by half of its max HP. Z-Move: Raises speed 1 stage.
	type: Fighting
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Karate Chop
	description: The target is attacked with a sharp chop. Critical hits land more easily.
	type: Fighting
	category: Physical
	power: 50
	accuracy: 100
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Knock Off
	description: The user slaps down the target's held item, and that item can't be used in that battle. The move does more damage if the target has a held item.
	type: Dark
	category: Physical
	power: 65
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Land's Wrath
	description: The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.
	type: Ground
	category: Physical
	power: 90
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Lash Out
	description: 
	type: Dark
	category: Physical
	power: 75
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Last Resort
	description: This move can be used only after the user has used all the other moves it knows in the battle.
	type: Normal
	category: Physical
	power: 140
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Leafage
	description: The user attacks by pelting the target with leaves.
	type: Grass
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Leaf Blade
	description: The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
	type: Grass
	category: Physical
	power: 90
	accuracy: 100
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Leech Life
	description: The user drains the target's blood. The user's HP is restored by half the damage taken by the target.
	type: Bug
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Life Dew
	description: 
	type: Water
	category: Status
	power: 0
	accuracy: 101
	target: allies
	crit: 0
	priority: 0
	drain: False
	effects: []
Lightning Lance
	description: The user pierces the foe with the speed of lightning. The target's stat changes don't affect this attack's damage.
	type: Electric
	category: Physical
	power: 85
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Light Screen
	description: A wondrous wall of light is put up to reduce damage from special attacks for five turns.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Lock-On
	description: The user takes sure aim at the target. This ensures the next attack does not miss the target.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Low Kick
	description: A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power.
	type: Fighting
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Lucky Chant
	description: The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Lunar Dance
	description: The user faints. In return, the Pokémon taking its place will have its status and HP fully restored.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Mach Punch
	description: The user throws a punch at blinding speed. This move always goes first.
	type: Fighting
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 1
	drain: False
	effects: []
Magical Leaf
	description: The user scatters curious leaves that chase the target. This attack never misses.
	type: Grass
	category: Special
	power: 60
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Magic Powder
	description: 
	type: Psychic
	category: Status
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Magic Room
	description: The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Magnet Bomb
	description: The user launches steel bombs that stick to the target. This attack never misses.
	type: Steel
	category: Physical
	power: 60
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Magnetic Flux
	description: The user manipulates magnetic fields, which raises the Defense and Sp. Def stats of ally Pokémon with the Plus or Minus Ability.
	type: Electric
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Magnitude
	description: The user attacks everything around it with a ground-shaking quake. Its power varies.
	type: Ground
	category: Physical
	power: 0
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Mat Block
	description: Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.
	type: Fighting
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Mean Look
	description: The user pins the target with a dark, arresting look. The target becomes unable to flee.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Me First
	description: The user cuts ahead of the target to copy and use the target's intended move with greater power. This move fails if it isn't used first.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: adjacentFoe
	crit: 0
	priority: 0
	drain: False
	effects: []
Mega Drain
	description: A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
	type: Grass
	category: Special
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Megahorn
	description: Using its tough and impressive horn, the user rams into the target with no letup.
	type: Bug
	category: Physical
	power: 120
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Mega Kick
	description: The target is attacked by a kick launched with muscle-packed power.
	type: Normal
	category: Physical
	power: 120
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Mega Punch
	description: The target is slugged by a punch thrown with muscle-packed power.
	type: Normal
	category: Physical
	power: 85
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Metal Burst
	description: The user retaliates with much greater force against the opponent that last inflicted damage on it.
	type: Steel
	category: Physical
	power: 0
	accuracy: 100
	target: scripted
	crit: 0
	priority: 0
	drain: False
	effects: []
Meteor Beam
	description: 
	type: Rock
	category: Special
	power: 120
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Metronome
	description: The user waggles a finger and stimulates its brain into randomly using nearly any move.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Miasma
	description: The user summons a dense miasma lasting five turns. It boosts the power of Poison type moves.
	type: Poison
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Milk Drink
	description: The user restores its own HP by up to half of its max HP.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Mimic
	description: The user copies the target's last move. The move can be used during battle until the Pokémon is switched out.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Mind Blown
	description: The user attacks everything around it by causing its own head to explode. This also damages the user.
	type: Fire
	category: Special
	power: 150
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Mind Reader
	description: The user senses the target's movements with its mind to ensure its next attack does not miss the target.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Mirror Coat
	description: A retaliation move that counters any special attack, inflicting double the damage taken.
	type: Psychic
	category: Special
	power: 0
	accuracy: 100
	target: scripted
	crit: 0
	priority: -5
	drain: False
	effects: []
Mirror Move
	description: The user counters the target by mimicking the target's last move.
	type: Flying
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Mist
	description: The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.
	type: Ice
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Misty Explosion
	description: 
	type: Fairy
	category: Special
	power: 100
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Misty Terrain
	description: This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.
	type: Fairy
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Moongeist Beam
	description: The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.
	type: Ghost
	category: Special
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Moonlight
	description: The user restores its own HP. The amount of HP regained varies with the weather.
	type: Fairy
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Morning Sun
	description: The user restores its own HP. The amount of HP regained varies with the weather.
	type: Fire
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Mud Sport
	description: The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns.
	type: Ground
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Multi-Attack
	description: Cloaking itself in high energy, the user slams into the target. The memory held determines the move's type.
	type: Normal
	category: Physical
	power: 120
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Mystery Room
	description: The user creates a bizarre area in which Pokémon's abilities are nullified.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Natural Gift
	description: The user draws power to attack by using its held Berry. The Berry determines the move's type and power.
	type: Normal
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Nature Power
	description: This attack makes use of nature's power. Its effects vary depending on the user's environment.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Nature's Madness
	description: The user hits the target with the force of nature. It halves the target's HP.
	type: Fairy
	category: Special
	power: 0
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Naughty-or-Nice
	description: Replaces the opponent's item with an item based on whether they are naughty or nice.
	type: Ice
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Night Shade
	description: The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.
	type: Ghost
	category: Special
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Night Slash
	description: The user slashes the target the instant an opportunity arises. Critical hits land more easily.
	type: Dark
	category: Physical
	power: 70
	accuracy: 100
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Oblivion Wing
	description: The user absorbs its target's HP. The user's HP is restored by over half of the damage taken by the target.
	type: Flying
	category: Special
	power: 80
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: True
	effects: []
One-Two Punch
	description: The user rapidly punches the target twice. The target is hit twice in a row.
	type: Fighting
	category: Physical
	power: 50
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Orbital Shift
	description: The user uses gravity to shift its orbit and swap the effects such as hazards and screens on either side of the field.
	type: Rock
	category: Status
	power: 0
	accuracy: 100
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Origin Pulse
	description: The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
	type: Water
	category: Special
	power: 120
	accuracy: 85
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Overdrive
	description: 
	type: Electric
	category: Special
	power: 80
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Pain Split
	description: The user adds its HP to the target's HP, then equally shares the combined HP with the target.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Parabolic Charge
	description: The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.
	type: Electric
	category: Special
	power: 75
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: True
	effects: []
Parasitic Drain
	description: The user uses its special fungus to heal itself based on the average of the target's Attack and Sp. Attack stats. It then lowers those stats by one stage.
	type: Grass
	category: Status
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Parting Shot
	description: With a parting threat, the user lowers the target's Attack and Sp. Atk stats. Then it switches with a party Pokémon.
	type: Dark
	category: Status
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Payback
	description: The user stores power, then attacks. If the user moves after the target, this attack's power will be doubled.
	type: Dark
	category: Physical
	power: 50
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Pay Day
	description: Numerous coins are hurled at the target to inflict damage. Money is earned after the battle. Hits twice, and uses foe's Defense stat to calculate damage.
	type: Normal
	category: Special
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Peck
	description: The target is jabbed with a sharply pointed beak or horn.
	type: Flying
	category: Physical
	power: 35
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Perish Song
	description: Any Pokémon that hears this song faints in three turns, unless it switches out of battle.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: all
	crit: 0
	priority: 0
	drain: False
	effects: []
Petal Blizzard
	description: The user stirs up a violent petal blizzard and attacks everything around it.
	type: Grass
	category: Physical
	power: 90
	accuracy: 100
	target: allAdjacent
	crit: 0
	priority: 0
	drain: False
	effects: []
Phantom Force
	description: The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.
	type: Ghost
	category: Physical
	power: 90
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Photon Geyser
	description: The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damage—whichever stat is higher for the user.
	type: Psychic
	category: Special
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Pika Papow
	description: 
	type: Electric
	category: Special
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Pin Missile
	description: Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
	type: Bug
	category: Physical
	power: 25
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Plasma Fists
	description: The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.
	type: Electric
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Pluck
	description: The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.
	type: Flying
	category: Physical
	power: 60
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Pollen Puff
	description: The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.
	type: Bug
	category: Special
	power: 90
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Poltergeist
	description: 
	type: Ghost
	category: Physical
	power: 110
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Pound
	description: The target is physically pounded with a long tail, a foreleg, or the like.
	type: Normal
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Power Gem
	description: The user attacks with a ray of light that sparkles as if it were made of gemstones.
	type: Rock
	category: Special
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Power Split
	description: The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Power Swap
	description: The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Power Trip
	description: The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.
	type: Dark
	category: Physical
	power: 20
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Power Whip
	description: The user violently whirls its vines, tentacles, or the like to harshly lash the target.
	type: Grass
	category: Physical
	power: 120
	accuracy: 85
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Precipice Blades
	description: The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.
	type: Ground
	category: Physical
	power: 120
	accuracy: 85
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Present
	description: 35% chance for a 65 BP move, 25% chance for a 80 BP move, 15% chance for a 120 BP move, 15% chance to heal 1/4th HP, 5% chance for a 120 BP Ice type move, 3% chance for a 250 BP self-destructing move, 2% chance to heal 100% HP.
	type: Normal
	category: Physical
	power: 0
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Primal Burst
	description: The user draws primal energy form its orb. The type of this move varies based on the orb held (Red/Cerise Orb = Fire, Blue/Teal Orb = Water).
	type: Normal
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Prophetic Asteroid
